Category,Namespace,Type Name,Attribute Name,Type,Cardinality,Definition
data type,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,,,,Type for reporting the detailed results of calculating a cash flow for a calculation period.  This is enhanced relative to the FpML-based cashflows structure to allow more information to be returned about daily compounded rates.
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,calculationPeriod,CalculationPeriodBase,(1..1),The calculation period for which the floating calculation was performed.
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,calculationPeriodNotionalAmount,Money,(1..1),The notional in effect during the calculation period.
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,floatingRate,FloatingRateSettingDetails,(0..1),"The details of the floating rate setting.  (If it is a calculated rate, details of that calculation will be inside that."
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,processingDetails,FloatingRateProcessingDetails,(0..1),"Details fo the floating rate treatment after the rate is observed or calculated.  This will include details of things like multipliers, spreads, caps and floors, and the raw and treated rates."
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,appliedRate,number,(1..1),"The rate that was actually applied, after all calculations and treatments."
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,yearFraction,number,(1..1),"The fraction of a year that this calculation represents, according to the day count fraction method."
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,calculatedAmount,number,(1..1),"The amount of the cash flow that was computed, including any spreads and other processing."
attribute,cdm.product.asset.floatingrate,FloatingAmountCalculationDetails,spreadExclusiveCalculatedAMount,number,(1..1),"The amount of the cash flow excluding any spread, for subsequent processing."
data type,cdm.product.asset.floatingrate,FloatingRateSettingDetails,,,,"Type for reporting the raw (untreated) observed or calculated rate for a calculation period.  If this is a calculated rate, it allows details of the observations and the resulting rate to be returned."
attribute,cdm.product.asset.floatingrate,FloatingRateSettingDetails,calculationDetails,CalculatedRateDetails,(0..1),"Calculated rate details (observation dates, values, and weights)."
attribute,cdm.product.asset.floatingrate,FloatingRateSettingDetails,observationDate,date,(0..1),The day upon which the rate was observed (for term rates).
attribute,cdm.product.asset.floatingrate,FloatingRateSettingDetails,resetDate,date,(0..1),The day for which the rate is needed (e.g. period beginning or end date).
attribute,cdm.product.asset.floatingrate,FloatingRateSettingDetails,floatingRate,number,(1..1),The resulting rate that was observed or calculated.
data type,cdm.product.asset.floatingrate,FloatingRateProcessingDetails,,,,"Type for reporting the details of the rate treatment.  This could potentially be replaced by the existing FloatingRateDefinition type , but this is slightly more detailed."
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingDetails,rawRate,number,(1..1),"The raw or untreated rate, prior to any of the rate treatments."
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingDetails,processingParameters,FloatingRateProcessingParameters,(0..1),
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingDetails,processedRate,number,(1..1),The value of the rate after processing.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingDetails,spreadExclusiveRate,number,(1..1),"The value of the processed rate without the spread applied, for subsequent compounding, etc."
data type,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,,,,Type to hold the processing parameters that should be or were used to calculate a floating amount.  These parameters can vary over a schedule so this type holds the acutal values applicable to this calculation.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,initialRate,Price,(0..1),The rate to be applied for the initial period.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,multiplier,number,(0..1),floating rate multiplier.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,spread,number,(0..1),spread to be added to the floating rate.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,treatment,RateTreatmentEnum,(0..1),"US rate treatment (Bond Equivalent Yield or Money Market Yield, if applicable."
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,capRate,number,(0..1),capt to be applied to the floating rate.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,floorRate,number,(0..1),floor to be applied to the floating rate.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,rounding,Rounding,(0..1),THe final rate rounding to be applied.
attribute,cdm.product.asset.floatingrate,FloatingRateProcessingParameters,negativeTreatment,NegativeInterestRateTreatmentEnum,(0..1),How to handle negative interest rates.
data type,cdm.legaldocumentation.csa,CreditSupportAgreementElections,,,,The set of elections which specify a Credit Support Annex or Deed.
data type,cdm.legaldocumentation.csa,CollateralTransferAgreementElections,,,,The set of elections which specify a Collateral Transfer Agreement
data type,cdm.legaldocumentation.csa,SecurityAgreementElections,,,,The set of elections which specify a Security Agremeent
data type,cdm.legaldocumentation.common,ContractualMatrix,,,,
attribute,cdm.legaldocumentation.common,ContractualMatrix,matrixType,MatrixTypeEnum,(1..1),Identifies the form of applicable matrix.
attribute,cdm.legaldocumentation.common,ContractualMatrix,matrixTerm,MatrixTermEnum,(0..1),"Defines any applicable key into the relevant matrix. For example, the Transaction Type would be the single term required for the Credit Derivatives Physical Settlement Matrix. This element should be omitted in the case of the 2000 ISDA Definitions Settlement Matrix for Early Termination and Swaptions."
data type,cdm.legaldocumentation.common,ContractualTermsSupplement,,,,A contractual supplement (such as those published by ISDA) and its publication date that will apply to the trade.
attribute,cdm.legaldocumentation.common,ContractualTermsSupplement,contractualTermsSupplementType,ContractualSupplementTypeEnum,(1..1),Identifies the form of applicable contractual supplement.
attribute,cdm.legaldocumentation.common,ContractualTermsSupplement,publicationDate,date,(0..1),Specifies the publication date of the applicable version of the contractual supplement.
data type,cdm.legaldocumentation.common,OtherAgreement,,,,A class for defining an agreement executed between parties.
attribute,cdm.legaldocumentation.common,OtherAgreement,identifier,string,(0..1),An identifier that has been created to identify the agreement.
attribute,cdm.legaldocumentation.common,OtherAgreement,otherAgreementType,string,(1..1),The agreement executed between the parties and intended to govern product-specific derivatives transactions between those parties.
attribute,cdm.legaldocumentation.common,OtherAgreement,version,string,(0..1),The version of the agreement.
attribute,cdm.legaldocumentation.common,OtherAgreement,date,date,(0..1),The date on which the agreement was signed.
data type,cdm.legaldocumentation.common,Resource,,,,"Describes the resource that contains the media representation of a business event (i.e used for stating the Publicly Available Information). For example, can describe a file or a URL that represents the event. This type is an extended version of a type defined by RIXML (www.rixml.org).  Rosetta restricts the FpML implementation by not providing the ability to associated a document in hexadecimalBinary or base64Binary until such time that actual use cases will come up."
attribute,cdm.legaldocumentation.common,Resource,resourceId,string,(1..1),The unique identifier of the resource within the event. FpML specifies this element of type resourceIdScheme but with no specified value.
attribute,cdm.legaldocumentation.common,Resource,resourceType,ResourceTypeEnum,(0..1),"A description of the type of the resource, e.g. a confirmation."
attribute,cdm.legaldocumentation.common,Resource,language,string,(0..1),"Indicates the language of the resource, described using the ISO 639-2/T Code."
attribute,cdm.legaldocumentation.common,Resource,sizeInBytes,number,(0..1),Indicates the size of the resource in bytes. It could be used by the end user to estimate the download time and storage needs.
attribute,cdm.legaldocumentation.common,Resource,length,ResourceLength,(0..1),"Indicates the length of the resource. For example, if the resource were a PDF file, the length would be in pages."
attribute,cdm.legaldocumentation.common,Resource,mimeType,string,(0..1),Indicates the type of media used to store the content. mimeType is used to determine the software product(s) that can read the content. MIME Types are described in RFC 2046.
attribute,cdm.legaldocumentation.common,Resource,name,string,(0..1),The name of the resource.  It is specified as a NormalizedString in FpML.
attribute,cdm.legaldocumentation.common,Resource,comments,string,(0..1),"Any additional comments that are deemed necessary. For example, which software version is required to open the document? Or, how does this resource relate to the others for this event?"
attribute,cdm.legaldocumentation.common,Resource,string,string,(0..1),"Provides extra information as string. In case the extra information is in XML format, a CDATA section must be placed around the source message to prevent its interpretation as XML content."
attribute,cdm.legaldocumentation.common,Resource,url,string,(0..1),"Indicates where the resource can be found, as a URL that references the information on a web server accessible to the message recipient."
data type,cdm.legaldocumentation.common,ResourceLength,,,,A class to indicate the length of the resource.
attribute,cdm.legaldocumentation.common,ResourceLength,lengthUnit,LengthUnitEnum,(1..1),"The length unit of the resource. For example, pages (pdf, text documents) or time (audio, video files)."
attribute,cdm.legaldocumentation.common,ResourceLength,lengthValue,number,(1..1),The length value of the resource.
data type,cdm.legaldocumentation.common,AgreementTerms,,,,Specification of the content of a legal agreement.
attribute,cdm.legaldocumentation.common,AgreementTerms,agreement,Agreement,(1..1),Specification of the standard set of terms that define a legal agreement.
attribute,cdm.legaldocumentation.common,AgreementTerms,clauseLibrary,boolean,(0..1),Specification of whether the agreement terms have been negotiated using the clause library methodology.
attribute,cdm.legaldocumentation.common,AgreementTerms,counterparty,Counterparty,(2..2),Specification of the roles of the counterparties to the agreement.
data type,cdm.legaldocumentation.common,LegalAgreement,,,,"The specification of a legal agreement between two parties, being negotiated or having been executed. This includes the baseline information and the optional specialised elections"
attribute,cdm.legaldocumentation.common,LegalAgreement,agreementTerms,AgreementTerms,(0..1),Specification of the content of the legal agreement.
attribute,cdm.legaldocumentation.common,LegalAgreement,relatedAgreements,LegalAgreement,(0..*),"Specifies the agreement(s) that govern the agreement, either as a reference to such agreements when specified as part of the CDM, or through identification of some of the key terms of those agreements, such as the type of agreement, the publisher, the vintage, the agreement identifier and the agreement date."
